trade_date,ticker,expiration,dte,option_type,contract_symbol,strike,last_price,bid,ask,mid,volume,prev_volume,volume_change,volume_change_pct,open_interest,implied_volatility,last_trade_date,underlying_close,underlying_high,underlying_low,underlying_change_pct,spread_pct,distance_pct,signed_distance_pct,premium_notional,prev_premium_notional,premium_notional_change,premium_notional_change_pct,open_interest_notional,prev_open_interest,oi_change,oi_change_pct,oi_change_notional,volume_oi_ratio,is_monthly,contract_score,expiration_rank,positioning_score,oi_score,confirmation_score,flow_score,liquidity_score,location_score,structure_score,expiration_pref_score,tape_score,raw_rank_score,continuity_days,continuity_score,band_id,band_label,band_low_strike,band_high_strike,band_continuity_days,band_continuity_score,total_score,block_buy_volume,block_sell_volume,block_total_volume,block_net_volume,block_buy_notional,block_sell_notional,block_total_notional,block_net_notional,sweep_count,trade_count,block_score,block_label
2026-03-20,NVDA,2026-04-17,28,C,NVDA260417C00215000,215.0,0.14,0.14,0.15,0.14500000000000002,730.0,387.0,343.0,0.8863049095607235,58283.0,0.39160764648437496,2026-03-20 19:50:56+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.06896551724137917,0.24493343253755256,0.24493343253755256,10585.0,7159.5,3425.5,0.47845519938543196,845103.5000000001,55953.0,2330.0,0.04164209247046628,33785.0,0.012525093080315014,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0,0.0,0.0,0.0,4896.0,0.0,0.0,3.0,18.4,大单活跃
2026-03-20,NVDA,2026-04-17,28,C,NVDA260417C00220000,220.0,0.12,0.11,0.12,0.11499999999999999,1574.0,4193.0,-2619.0,-0.6246124493202957,47576.0,0.41211525390625,2026-03-20 19:55:37+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.0869565217391304,0.27388537282912356,0.27388537282912356,18101.0,52412.5,-34311.5,-0.6546434533746721,547124.0,50336.0,-2760.0,-0.054831532104259374,0.0,0.03308390785269884,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.0,0.0,0.0,0.0,6565.0,0.0,5.0,9.0,50.1,密集扫单
2026-03-20,NVDA,2026-04-17,28,C,NVDA260417C00230000,230.0,0.08,0.07,0.08,0.07500000000000001,930.0,968.0,-38.0,-0.03925619834710744,35777.0,0.45117736328125,2026-03-20 19:42:47+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.13333333333333325,0.33178925341226556,0.33178925341226556,6975.000000000002,6292.0,683.0000000000018,0.10855054036872247,268327.50000000006,35936.0,-159.0,-0.00442453250222618,0.0,0.02599435391452609,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,0.0,0.0,0.0,3094.0,0.0,2.0,6.0,33.2,大单扫单
2026-03-20,NVDA,2026-04-17,28,C,NVDA260417C00240000,240.0,0.05,0.05,0.06,0.055,1236.0,238.0,998.0,4.19327731092437,24212.0,0.49023947265625006,2026-03-20 19:55:55+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.18181818181818174,0.3896931339954075,0.3896931339954075,6798.0,1071.0,5727.0,5.347338935574229,133166.0,24171.0,41.0,0.0016962475694013487,225.5,0.05104906657855609,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617.0,0.0,0.0,0.0,2985.0,0.0,2.0,5.0,38.0,大单扫单
2026-03-20,NVDA,2026-04-17,28,C,NVDA260417C00250000,250.0,0.03,0.03,0.04,0.035,4577.0,228.0,4349.0,19.07456140350877,23217.0,0.5117236328125,2026-03-20 19:37:49+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.28571428571428575,0.4475970145785495,0.4475970145785495,16019.500000000002,798.0,15221.500000000002,19.074561403508774,81259.5,23279.0,-62.0,-0.0026633446453885475,0.0,0.19714002670456993,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3980.0,0.0,0.0,0.0,11940.0,0.0,31.0,33.0,50.1,密集扫单
2026-03-20,NVDA,2026-04-17,28,P,NVDA260417P00070000,70.0,0.03,0.03,0.05,0.04,13.0,0.0,13.0,13.0,2152.0,1.2343788281249999,2026-03-20 17:58:24+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.5000000000000001,0.5946728359180061,-0.5946728359180061,52.0,0.0,52.0,52.0,8608.0,0.0,2152.0,2152.0,8608.0,0.0060408921933085506,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2026-03-20,NVDA,2026-04-17,28,P,NVDA260417P00080000,80.0,0.06,0.06,0.08,0.07,195.0,18.0,177.0,9.833333333333334,11507.0,1.12891060546875,2026-03-20 19:25:04+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.28571428571428575,0.5367689553348641,-0.5367689553348641,1365.0000000000002,63.000000000000014,1302.0000000000002,20.666666666666664,80549.00000000001,11492.0,15.0,0.001305255830142708,105.0,0.01694620665681759,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,894.0,0.0,0.0,1.0,8.9,大单活跃
2026-03-20,NVDA,2026-04-17,28,P,NVDA260417P00085000,85.0,0.07,0.07,0.09,0.08,23.0,428.0,-405.0,-0.9462616822429907,1642.0,1.0625046875000002,2026-03-20 19:16:00+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.24999999999999986,0.5078170150432931,-0.5078170150432931,184.0,1925.9999999999998,-1741.9999999999998,-0.9044652128764278,13136.000000000002,1482.0,160.0,0.10796221322537113,1280.0,0.014007308160779537,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2026-03-20,NVDA,2026-04-17,28,P,NVDA260417P00090000,90.0,0.1,0.08,0.1,0.09,1478.0,4006.0,-2528.0,-0.6310534198701947,12129.0,0.9960937890625,2026-03-20 18:20:09+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.22222222222222227,0.4788650747517222,-0.4788650747517222,13301.999999999998,22033.0,-8731.000000000002,-0.3962692325148641,109160.99999999999,8319.0,3810.0,0.4579877389109268,34290.0,0.12185670706571028,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,958.0,0.0,0.0,0.0,7203.0,0.0,9.0,10.0,50.1,密集扫单
2026-03-20,NVDA,2026-04-17,28,P,NVDA260417P00095000,95.0,0.11,0.1,0.11,0.10500000000000001,587.0,160.0,427.0,2.66875,6688.0,0.937500625,2026-03-20 19:24:56+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.09523809523809518,0.4499131344601512,-0.4499131344601512,6163.500000000001,1120.0,5043.500000000001,4.503125000000001,70224.00000000001,6689.0,-1.0,-0.00014949917775452235,0.0,0.08776913875598086,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.0,0.0,0.0,0.0,4964.0,0.0,0.0,4.0,30.0,大单活跃
