symbol,underlying,underlying_name,side,expiry,dte,strike,underlying_price,moneyness_pct,last,volume,open_interest,vol_oi_ratio,turnover,implied_volatility_pct,big_order_flag,volume_spike_flag,big_order_score,volume_spike_score,liquidity_score,total_score,source
JBHT260515C00200000,JBHT.US,JBHT,C,2026-05-15,58,200.0,200.12,-0.06,14.31,100,0,100.0,143100.0,0.0,True,True,83.33,77.78,0.0,80.83,yfinance
STX260417C00320000,STX.US,STX,C,2026-04-17,30,320.0,421.09,-24.01,95.54,51,0,51.0,487254.0,0.0,True,True,91.3,67.65,0.0,80.66,yfinance
WDC260327C237500.US,WDC.US,WDC,C,2026-03-27,9,237.5,313.81,-24.32,69.49,124,5,20.667,857276.0,78.1,True,True,90.0,69.15,0.0,80.62,longbridge
TWLO260417C00120000,TWLO.US,TWLO,C,2026-04-17,30,120.0,126.88,-5.42,11.46,23,0,23.0,26358.0,0.0,True,True,84.0,76.49,0.0,80.62,yfinance
PLTR260515C165000.US,PLTR.US,PLTR,C,2026-05-15,58,165.0,155.08,6.4,9.98,1713,3615,0.474,1765955.0,54.1,True,True,95.83,61.43,0.0,80.35,longbridge
DHI260327P00172500,DHI.US,DHI,P,2026-03-27,9,172.5,142.14,21.36,29.29,36,0,36.0,105444.0,0.0,True,True,90.48,67.74,0.0,80.25,yfinance
WDC260327C282500.US,WDC.US,WDC,C,2026-03-27,9,282.5,313.81,-9.98,36.6,793,846,0.936,1478684.0,80.0,True,True,100.0,55.93,0.0,80.17,longbridge
WDC260327C235000.US,WDC.US,WDC,C,2026-03-27,9,235.0,313.81,-25.11,71.88,123,13,8.786,882660.0,67.1,True,True,92.5,64.41,0.0,79.86,longbridge
AMP260417P00520000,AMP.US,AMP,P,2026-04-17,30,520.0,437.94,18.74,40.9,38,0,38.0,155420.0,0.0,True,True,83.33,75.0,0.0,79.58,yfinance
LUMN260327C00006000,LUMN.US,LUMN,C,2026-03-27,9,6.0,6.81,-11.89,0.98,218,0,218.0,21364.0,0.0,True,True,73.33,86.36,0.0,79.19,yfinance
WBD260410P00027000,WBD.US,WBD,P,2026-04-10,23,27.0,27.64,-2.32,0.2,1437,0,1437.0,28740.0,3.13,True,True,75.0,83.91,0.0,79.01,yfinance
FSLR260417C00200000,FSLR.US,FSLR,C,2026-04-17,30,200.0,200.42,-0.21,13.15,67,0,67.0,88105.0,0.0,True,True,69.7,89.8,0.0,78.75,yfinance
CSGP260417P45000.US,CSGP.US,CSGP,P,2026-04-17,30,45.0,44.25,1.69,3.0,18,271,0.066,5130.0,52.3,True,True,75.0,83.33,0.0,78.75,longbridge
GME260327C00024000,GME.US,GME,C,2026-03-27,9,24.0,23.59,1.74,0.72,1131,0,1131.0,81432.0,3.13,True,True,72.0,86.49,0.0,78.52,yfinance
PHM260424P00110000,PHM.US,PHM,P,2026-04-24,37,110.0,121.96,-9.81,3.0,41,0,41.0,12300.0,6.25,True,True,69.23,89.47,0.0,78.34,yfinance
PLTR260501P155000.US,PLTR.US,PLTR,P,2026-05-01,44,155.0,155.08,-0.05,9.99,555,73,7.5,553364.0,48.5,True,True,70.83,87.43,0.0,78.3,longbridge
DOCU260327C00048000,DOCU.US,DOCU,C,2026-03-27,9,48.0,47.54,0.97,2.86,286,0,286.0,81796.0,1.56,True,True,76.47,80.0,0.0,78.06,yfinance
WDC260327C300000.US,WDC.US,WDC,C,2026-03-27,9,300.0,313.81,-4.4,26.35,461,304,1.511,836190.0,89.3,True,True,87.5,65.93,0.0,77.79,longbridge
UBER260327P00079000,UBER.US,UBER,P,2026-03-27,9,79.0,77.79,1.56,2.6,1408,0,1408.0,366080.0,0.0,True,True,81.48,73.17,0.0,77.74,yfinance
KTOS260515C00095000,KTOS.US,KTOS,C,2026-05-15,58,95.0,95.31,-0.33,12.12,75,0,75.0,90900.0,0.0,True,True,88.24,64.71,0.0,77.65,yfinance
FNB260515C00002500,FNB.US,FNB,C,2026-05-15,58,2.5,16.11,-84.48,14.49,51,0,51.0,73899.0,0.0,True,True,100.0,50.0,0.0,77.5,yfinance
CSGP260417P50000.US,CSGP.US,CSGP,P,2026-04-17,30,50.0,44.25,12.99,5.95,12,386,0.031,7140.0,39.1,True,True,100.0,50.0,0.0,77.5,longbridge
TWLO260417C00080000,TWLO.US,TWLO,C,2026-04-17,30,80.0,126.88,-36.95,42.66,17,0,17.0,72522.0,0.0,True,True,96.0,54.86,0.0,77.49,yfinance
FSLR260327C00200000,FSLR.US,FSLR,C,2026-03-27,9,200.0,200.42,-0.21,7.4,108,0,108.0,79920.0,0.0,True,True,63.64,93.88,0.0,77.25,yfinance
LULU260327P00155000,LULU.US,LULU,P,2026-03-27,9,155.0,159.27,-2.68,6.85,584,0,584.0,400040.0,3.13,True,True,74.19,80.85,0.0,77.19,yfinance
PDD260402P00100000,PDD.US,PDD,P,2026-04-02,15,100.0,104.37,-4.19,2.48,714,0,714.0,177072.0,6.25,True,True,64.29,92.68,0.0,77.07,yfinance
LULU260402P00160000,LULU.US,LULU,P,2026-04-02,15,160.0,159.27,0.46,9.85,509,0,509.0,501365.0,0.0,True,True,83.87,68.09,0.0,76.77,yfinance
JBL260327C275000.US,JBL.US,JBL,C,2026-03-27,9,275.0,262.35,4.82,7.81,28,8,3.111,20089.0,72.4,True,True,71.05,83.39,0.0,76.6,longbridge
INSM260515C00115000,INSM.US,INSM,C,2026-05-15,58,115.0,143.93,-20.1,47.23,32,0,32.0,151136.0,0.0,True,True,88.89,61.54,0.0,76.58,yfinance
PDD260402P00098000,PDD.US,PDD,P,2026-04-02,15,98.0,104.37,-6.1,1.82,814,0,814.0,148148.0,6.25,True,True,60.71,95.12,0.0,76.19,yfinance
DOCU260417C00045000,DOCU.US,DOCU,C,2026-04-17,30,45.0,47.54,-5.34,5.2,168,0,168.0,87360.0,0.0,True,True,82.35,68.0,0.0,75.89,yfinance
FRPT260515P00067500,FRPT.US,FRPT,P,2026-05-15,58,67.5,67.42,0.12,5.5,82,0,82.0,45100.0,0.0,True,True,83.33,66.67,0.0,75.83,yfinance
CTRA260417C00019000,CTRA.US,CTRA,C,2026-04-17,30,19.0,32.99,-42.41,11.4,20,0,20.0,22800.0,0.0,True,True,88.89,59.29,0.0,75.57,yfinance
LULU260501P00160000,LULU.US,LULU,P,2026-05-01,44,160.0,159.27,0.46,11.85,453,0,453.0,536805.0,0.0,True,True,90.32,57.45,0.0,75.53,yfinance
LUMN260410C00002000,LUMN.US,LUMN,C,2026-04-10,23,2.0,6.81,-70.63,4.71,100,0,100.0,47100.0,0.0,True,True,100.0,45.45,0.0,75.45,yfinance
DHI260327P00162500,DHI.US,DHI,P,2026-03-27,9,162.5,142.14,14.32,20.82,39,0,39.0,81198.0,0.0,True,True,76.19,74.19,0.0,75.29,yfinance
VAL260515C00092500,VAL.US,VAL,C,2026-05-15,58,92.5,97.28,-4.91,11.4,40,0,40.0,45600.0,0.0,True,True,71.43,80.0,0.0,75.29,yfinance
TGTX260417C00033000,TGTX.US,TGTX,C,2026-04-17,30,33.0,31.51,4.73,1.7,854,0,854.0,145180.0,3.13,True,True,71.43,80.0,0.0,75.29,yfinance
JBL260402C257500.US,JBL.US,JBL,C,2026-04-02,15,257.5,262.35,-1.85,17.35,15,2,5.0,23994.0,66.1,True,True,73.68,77.14,0.0,75.24,longbridge
CTRA260417C00031000,CTRA.US,CTRA,C,2026-04-17,30,31.0,32.99,-6.03,2.68,55,0,55.0,14740.0,0.0,True,True,66.67,85.71,0.0,75.24,yfinance
CLSK260417C00013000,CLSK.US,CLSK,C,2026-04-17,30,13.0,10.11,28.59,0.28,551,0,551.0,15428.0,25.0,True,True,66.67,85.19,0.0,75.0,yfinance
